customer_key,first_name,last_name,email,phone,date_of_birth,gender,address_line1,address_line2,city,state,postal_code,country,customer_segment,loyalty_tier,join_date
CUST-000014,Sherry,Murphy,deborahreid@example.com,001-446-812-0047x113,1973-06-01,Other,261 Gilbert Harbors Apt. 537,Suite 351,Amystad,AR,52685,USA,VIP,Gold,2024-09-11
CUST-000015,Tammy,Rush,ndavis@example.net,+1-590-505-3293x1839,1965-07-15,Other,042 Amber Union,Apt. 102,West Kristybury,OR,42938,USA,Regular,Gold,2023-08-31
CUST-000016,Joseph,Martinez,vfox@example.org,975.289.1783x9084,1948-09-01,Male,6177 Rachel Islands Apt. 124,,Oscarhaven,LA,59970,USA,Regular,Bronze,2022-11-19
CUST-000017,Russell,Mcguire,farrelldebra@example.net,001-736-673-6576x6156,1968-06-01,Female,711 Christopher Court,,Lisaside,AR,77370,USA,Regular,Silver,2024-05-09
CUST-000018,Anna,Santiago,qgomez@example.com,001-304-794-5198x3273,1998-02-04,Female,49368 Chelsea Shoals Suite 024,,Sandrastad,AL,24278,USA,New,Bronze,2025-09-15
CUST-000019,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x4599,1954-08-21,Other,147 Tucker Mills,,Nelsonhaven,DE,45743,USA,New,Gold,2025-06-12
CUST-000020,Justin,Gregory,trose@example.org,669.600.3432,1965-07-05,Other,6226 Vincent Village,,Charleston,NE,02957,USA,New,Silver,2024-02-16
CUST-000021,Christian,Edwards,tberry@example.net,(841)860-5297x51613,1977-11-05,Male,5352 William Crescent Apt. 552,,North Dwayne,ID,23241,USA,Regular,Silver,2024-03-19
CUST-000022,Kathleen,Rios,stephanieburton@example.com,001-699-279-9552x71774,1967-01-04,Other,7700 Decker Club,,New Brookefurt,NH,76565,USA,VIP,Silver,2024-08-23
CUST-000023,Latoya,Huang,kstout@example.net,759.378.2071,1976-08-15,Male,37788 Michael Haven,,Ortizmouth,TX,78867,USA,Regular,Bronze,2024-07-01
CUST-000024,Crystal,Cook,cody64@example.com,001-692-851-9254x6291,1985-05-17,Male,81685 Michael Falls Apt. 573,Apt. 221,Meganville,NY,71249,USA,New,Bronze,2022-12-29
CUST-000025,Nicole,Johnson,nancy92@example.net,(622)929-2706x5379,1959-07-31,Male,7359 Murray Haven,,Shawchester,GA,26675,USA,Regular,,2025-05-05
CUST-000026,Devon,Wright,jsawyer@example.org,001-581-941-2478x261,2000-07-26,Male,0685 Paul Common,Suite 305,Port Jennifermouth,WY,19643,USA,VIP,Bronze,2025-03-29
CUST-000027,Justin,Gallegos,katherineharrison@example.net,8103432898,1993-09-25,Other,1036 Brown Villages,,Carlsontown,SC,68052,USA,New,,2023-04-01
CUST-000028,Jennifer,Carter,mendezjohn@example.com,(218)851-8888,1999-11-09,Female,654 Michael Cliff,Suite 319,Dennisstad,ND,44875,USA,VIP,,2024-07-24
CUST-000029,Gregory,Maxwell,epollard@example.net,(221)770-4303,2003-08-21,Male,740 Justin Wall Apt. 541,,Samuelfurt,WA,58138,USA,VIP,Silver,2025-04-11
CUST-000030,Paul,Beltran,xholt@example.net,716-616-9284x511,1964-02-23,Other,75705 Hill Turnpike Apt. 165,Apt. 029,Johnsonland,IA,85063,USA,New,,2025-07-09
CUST-000031,Patrick,Bradley,erikarush@example.com,419.928.5654x310,1977-06-15,Other,4739 Benson Overpass,Apt. 121,Thompsonmouth,CO,89882,USA,Regular,,2023-12-08
CUST-000032,Valerie,Contreras,piercekelly@example.com,(925)283-1323,1967-07-29,Other,8291 Kyle Stravenue Suite 866,Apt. 251,Owenshaven,MI,17322,USA,New,Gold,2025-09-27
CUST-000033,Kimberly,Bowman,katrinaanderson@example.net,7186242253,1998-02-16,Other,84249 Wayne Extension Apt. 299,,Meganshire,AZ,04219,USA,New,Bronze,2025-06-21
CUST-000034,Stacy,Wise,debra96@example.net,+1-407-984-4736x4710,1971-01-08,Other,59255 Hester Curve Suite 881,,Johnville,KY,59430,USA,Regular,,2023-01-30
CUST-000035,Colin,Roberts,alin@example.org,(959)653-2787,1976-03-03,Male,8733 Williams Haven,,Harperfort,LA,70846,USA,New,Bronze,2023-07-31
CUST-000036,Daniel,Anderson,jessica65@example.org,(609)383-5841x6878,1952-12-10,Other,5585 James Pass,,Porterton,AZ,18462,USA,New,Gold,2022-11-10
CUST-000037,Linda,Stone,catherinerobertson@example.com,+1-652-969-4958x887,1996-03-24,Other,1694 Candice Greens Apt. 097,Apt. 896,Port Erin,AZ,75548,USA,New,Silver,2024-12-23
CUST-000038,Daniel,Smith,robert63@example.com,997.702.8385x78652,1979-04-02,Male,733 Grant Fork Suite 437,,Timothyside,WY,95090,USA,VIP,Gold,2025-09-06
CUST-000039,David,Rhodes,zhuang@example.com,001-624-404-1574x73384,1951-09-20,Other,08330 Robert Stravenue,,Garciaberg,AL,72636,USA,VIP,Gold,2023-08-28
CUST-000040,Eric,Delgado,mwoods@example.com,440-619-3802x62067,2000-01-26,Female,9915 Gibson Row,,Smallberg,PR,66589,USA,Regular,Silver,2025-10-08
CUST-000041,James,Rodriguez,jessicawong@example.net,(805)749-3296,1950-04-20,Male,27530 Reyes Mission,Suite 549,West Desireebury,AR,88029,USA,New,Gold,2024-03-28
CUST-000042,Kurt,Sullivan,hannah45@example.net,932.572.7956,1992-10-31,Male,785 Samantha Creek,,Port Amyhaven,ID,75566,USA,VIP,Silver,2023-03-11
CUST-000043,Franklin,Bond,nwilson@example.net,001-871-987-0728,1980-05-12,Male,406 Velasquez Summit Apt. 910,,Cooperland,ND,08398,USA,New,Silver,2024-06-12
CUST-000044,Cesar,Peck,mitchellhector@example.org,001-865-467-6618x25128,1990-09-10,Female,04786 Morrow Gateway,,Reedview,ID,95531,USA,New,,2025-08-22
CUST-000045,Antonio,Keller,allencarlos@example.net,5792030673,1953-08-31,Male,95995 Kevin Divide Apt. 644,,New Stacyburgh,SC,89466,USA,New,Silver,2025-02-17
CUST-000046,Tyler,Compton,ufloyd@example.net,(862)846-2873x34270,1979-12-12,Other,3435 Sandra Vista,,Christopherborough,AR,35688,USA,New,Bronze,2024-02-13
CUST-000047,Cassidy,Williams,lopezkathleen@example.net,+1-583-873-5403x31739,2002-06-28,Female,6785 Green Passage Suite 717,,Robinstad,MD,54755,USA,Regular,Gold,2023-12-20
CUST-000048,Michelle,Figueroa,greensarah@example.net,001-664-923-5369x3785,2005-09-22,Male,2522 White Plains Apt. 801,Apt. 062,North Jasmine,AL,29169,USA,Regular,Gold,2022-12-22
CUST-000049,Nathaniel,Williamson,bhopkins@example.org,+1-286-800-8484,1995-08-16,Other,18233 Ochoa Grove,,Millerfurt,NH,74556,USA,New,Silver,2024-05-09
CUST-000050,Heidi,Evans,valdezmichele@example.org,366-968-7002,1998-02-03,Male,180 Jason Ways Suite 401,Suite 890,Port Leonard,IL,77444,USA,New,Gold,2023-07-26
CUST-000051,Lori,Nicholson,evansanne@example.net,(785)862-1850x1631,2005-11-16,Male,47735 Reynolds Springs Suite 194,Apt. 114,South Jennifer,SC,20722,USA,VIP,Bronze,2023-04-09
CUST-000052,Levi,Rodriguez,hahnsean@example.com,821-326-7888,1946-06-29,Male,199 Shields Bridge Suite 661,,New Adriana,TX,50404,USA,Regular,,2025-01-20
CUST-000053,Joseph,Adams,bryanhamilton@example.com,671-254-3799x3712,2004-08-11,Male,657 Jordan View Apt. 459,,South Leon,MO,42331,USA,New,,2023-05-06
CUST-000054,Heather,Henry,markramirez@example.com,(619)339-8280x737,1996-06-06,Male,724 Johnny Drives Suite 617,,Aguilarside,NY,91164,USA,Regular,Silver,2023-09-17
CUST-000055,Benjamin,Schmitt,rodriguezjohn@example.net,(529)509-6561x014,1972-12-02,Male,9825 Timothy Hill Suite 112,Suite 457,New Timothy,NJ,13296,USA,Regular,Bronze,2024-02-03
CUST-000056,Heather,Flores,bradley10@example.com,+1-812-438-2825x8673,1956-07-30,Female,0937 Price Squares Apt. 341,,Port Monicaburgh,MN,43228,USA,New,Gold,2024-02-25
CUST-000057,Daniel,Lambert,orose@example.com,+1-369-469-1557x924,1964-07-26,Other,1252 Barnes Dam,,Hendersonfort,SC,70936,USA,New,Gold,2023-06-05
CUST-000058,Deanna,Cooke,tracytaylor@example.com,890.950.7236x887,1971-01-08,Male,2190 Kelly Harbor Apt. 842,,Cunninghamfort,OH,67453,USA,Regular,Gold,2024-12-01
CUST-000059,Danny,Hampton,amber07@example.net,361.934.0745,1999-05-08,Male,39596 Christina Tunnel,Apt. 309,Amandaside,GA,42922,USA,New,,2023-03-06
CUST-000060,Kelly,Armstrong,taylorkaren@example.com,9424232536,1981-03-19,Male,667 Cynthia Trafficway Apt. 684,,Shawnfort,MD,76779,USA,Regular,,2025-10-09
CUST-000061,Kim,Oconnor,sreid@example.com,686-736-3745,1979-04-26,Male,750 Cory Tunnel,,Smithburgh,NV,60337,USA,VIP,,2022-11-04
CUST-000062,Susan,Harris,nicoleturner@example.com,554-815-2064,1986-02-17,Other,37129 April Mills,Apt. 051,Bensonfort,CA,30509,USA,New,Gold,2022-11-02
CUST-000063,Jessica,Garcia,michael42@example.com,001-922-518-9092x75326,1950-04-19,Male,19656 Moody Gateway,,Deannabury,OH,79275,USA,VIP,Silver,2023-12-26
CUST-000064,Cathy,Maxwell,abbottdominique@example.com,989.883.6403,1951-12-10,Female,918 Valerie Island Apt. 696,,Amyburgh,WV,62237,USA,VIP,,2024-08-20
CUST-000065,Kaylee,Smith,smithjason@example.org,(384)686-6618x8924,1949-10-25,Male,85691 Hale Stream,Apt. 031,Wilsonton,ME,87805,USA,VIP,,2025-09-13
CUST-000066,Joy,Wilson,jacquelinemartin@example.com,684.325.2410x56481,1976-02-04,Female,79252 Ayala Ports Apt. 380,,Port Michellebury,AZ,62336,USA,Regular,Bronze,2025-01-22
CUST-000067,Samantha,White,tranrobin@example.net,+1-263-453-6541x9518,1958-11-24,Female,1744 Miller Motorway,,West Jamesshire,WY,40335,USA,New,,2023-12-05
CUST-000068,John,Richardson,xcuevas@example.org,001-883-620-6038x5050,1951-05-21,Male,7024 Bradley Fort,Suite 571,New Dennisfurt,CA,78081,USA,VIP,Gold,2025-01-20
CUST-000069,Ryan,Brandt,kellyrosales@example.com,001-355-474-3132x912,1973-02-27,Other,1853 Parker Greens Apt. 124,,East Marymouth,FL,12456,USA,VIP,Bronze,2024-07-16
CUST-000070,Tanya,Foster,byrdjorge@example.org,4673883171,1945-08-04,Male,36519 Lowery Club,Apt. 137,North Rebecca,MP,43957,USA,Regular,Silver,2024-12-20
CUST-000071,Sheri,Williams,zunderwood@example.com,9664253244,1947-01-08,Male,476 Brown Harbors,,Taylorborough,SD,69420,USA,VIP,Silver,2023-03-16
CUST-000072,Virginia,Stephens,mayokimberly@example.com,587.259.8564x2059,2001-04-08,Male,78593 Craig Shoals Apt. 480,,New Meghan,AS,51412,USA,New,Silver,2023-08-02
CUST-000073,Mary,Bruce,joelstewart@example.net,001-659-405-9929x378,1975-09-25,Female,39308 Smith Ridges,Apt. 252,Brianberg,OR,92866,USA,New,Silver,2023-11-25
CUST-000074,Kim,Mathis,susan56@example.net,454-752-2675,1958-11-25,Other,4422 Stacy Ports,,Rosalesshire,AZ,24366,USA,New,Gold,2025-08-03
CUST-000075,Samantha,Ponce,daniellegarcia@example.com,(951)235-5215,1961-07-18,Female,154 Jennifer Causeway,,Kimchester,GA,54767,USA,New,Bronze,2024-08-23
CUST-000076,Nicholas,Payne,poolekristina@example.net,+1-432-871-0405x4115,1954-12-22,Female,159 Bush Meadows,Apt. 962,North Markborough,MT,91883,USA,New,Bronze,2024-04-25
CUST-000077,Sara,Fernandez,kenneth10@example.com,001-687-920-5061,1957-06-01,Male,24171 Glover Mountains,Suite 418,Lopezfurt,MN,24956,USA,VIP,Bronze,2024-07-01
CUST-000078,Jose,Marshall,maryelliott@example.org,001-911-558-6938x06868,1974-11-03,Female,0898 David Throughway,,Thompsonburgh,IL,25761,USA,VIP,Gold,2024-03-04
CUST-000079,Rodney,Mcneil,oharris@example.org,+1-945-211-6868x548,1994-05-22,Female,62299 Sara Port Apt. 485,,Bakerfort,OK,80318,USA,New,Gold,2023-03-20
CUST-000080,Gerald,Powell,vwilliams@example.net,607.945.0544,1998-11-26,Male,24754 Jacobs Corners,,South Jason,GU,53869,USA,New,Bronze,2024-04-03
CUST-000081,Katherine,Camacho,robertsonerik@example.com,001-286-928-9023x303,1948-01-09,Male,345 Wagner Roads Apt. 035,,Wheelerburgh,VI,62705,USA,VIP,Silver,2025-01-22
CUST-000082,Michael,Martin,kaitlyn14@example.org,(902)493-3334x6800,1985-08-15,Female,49446 York Mount,Suite 374,Silvatown,NY,87317,USA,Regular,Bronze,2024-08-06
CUST-000083,Mary,Hoffman,kenneth17@example.org,445-244-4328x30965,1986-02-15,Other,6660 Matthew Station Apt. 875,,Meganside,HI,39007,USA,New,Gold,2025-09-26
CUST-000084,David,Green,staceylam@example.net,635-934-6554,1998-06-18,Other,99917 Vincent Ways Suite 846,,Port Melissaberg,ID,45415,USA,Regular,Gold,2023-02-16
CUST-000085,Ashley,Knox,tthomas@example.org,001-917-352-5007x43292,1952-12-27,Male,666 Reyes Camp Apt. 505,Apt. 003,Lake Natalie,ME,17400,USA,VIP,Silver,2024-01-24
CUST-000086,Wesley,Torres,colonkenneth@example.com,889.285.6257x532,1959-03-24,Female,09821 Dawson Turnpike,Apt. 648,New Virginiaville,SD,03088,USA,VIP,Bronze,2023-02-22
CUST-000087,Darrell,Wallace,kelleythomas@example.org,404.861.8499,1997-03-02,Male,914 Kristen Parks,,New James,KS,69070,USA,Regular,,2022-12-24
CUST-000088,Michael,Ortiz,benjamincrawford@example.org,001-375-330-0119x721,2001-11-01,Female,4470 Lisa Well,,Port Kellymouth,NE,97302,USA,VIP,Gold,2025-10-03
CUST-000089,Melissa,Zamora,christianelizabeth@example.org,857-994-1552x16674,1995-03-25,Other,20216 Pham Springs,,Whitefurt,WI,47503,USA,Regular,Gold,2023-03-09
CUST-000090,Michelle,Hobbs,timothyfreeman@example.com,301.845.0899x358,1986-07-11,Male,5628 Alexander Estate,,Christianburgh,CA,98992,USA,VIP,Bronze,2024-09-02
CUST-000091,John,Cordova,hunterandrea@example.com,(231)377-9717x7517,1970-04-03,Male,801 Wu Points,,Lake Emily,MA,48125,USA,New,,2024-04-23
CUST-000092,Lisa,Richard,ann99@example.com,001-757-311-3055x488,1947-09-21,Other,2614 Jacob Walk,Suite 373,Danielchester,AZ,83501,USA,VIP,Silver,2025-04-24
CUST-000093,Brianna,Barton,lellis@example.net,(470)480-8697,1990-11-09,Other,69958 Barnes Rest,Apt. 465,Shawnberg,DC,54600,USA,Regular,Silver,2025-05-07
CUST-000094,Olivia,Hunt,jennifer83@example.org,394.752.2885,1980-04-05,Female,846 Alexandra Burg Suite 200,Apt. 424,Dwayneton,UT,39185,USA,Regular,Bronze,2024-08-23
CUST-000095,Amber,Howard,rgarcia@example.net,+1-838-863-8406,2005-02-08,Male,004 Christine Tunnel Suite 359,,Port Jenny,ID,39059,USA,VIP,Silver,2023-06-13
CUST-000096,Tonya,Jones,jillwilson@example.org,(748)242-2940x57202,1993-07-29,Other,9851 Fox Ferry Apt. 826,Suite 153,Lake Martin,MN,38980,USA,New,,2024-03-07
CUST-000097,Karen,Moreno,wilsonmichael@example.org,+1-799-930-5616x4840,1975-07-04,Other,358 Stacy Expressway Apt. 133,,Houstonborough,ND,92610,USA,VIP,Silver,2023-06-29
CUST-000098,Judith,Graham,burgesseric@example.com,001-650-811-0248x193,1969-04-13,Male,5061 Darlene River Apt. 901,,Sarahville,LA,90400,USA,VIP,Silver,2025-06-21
CUST-000099,Christopher,Hubbard,qjames@example.org,428.332.6842x4508,1947-06-21,Other,814 Kaitlin Stream Suite 368,,East Jack,RI,33628,USA,Regular,Silver,2023-09-28
CUST-000100,Howard,Marsh,yorksarah@example.net,481.541.4139x755,1951-02-21,Female,57759 Steele Drives,Suite 562,West Johnbury,VT,97470,USA,New,Gold,2023-06-02
CUST-000101,Joshua,Ward,natalie77@example.com,001-347-281-2914x28341,1998-05-12,Female,969 Rebecca Plaza,,Amyside,NJ,86210,USA,Regular,Silver,2024-10-04
CUST-000102,Michael,Walker,dennis88@example.org,(458)903-9282x7229,2004-01-02,Male,73145 Brad Ford,,Paulmouth,FM,06587,USA,Regular,Bronze,2025-02-28
CUST-000103,Deborah,Garcia,mary49@example.net,001-826-565-9184,1977-05-14,Female,7790 Scott Forks Apt. 843,,East Eric,PA,94519,USA,VIP,Silver,2022-12-15
CUST-000104,Donna,Perry,jennifer77@example.com,492.460.3029,1984-06-30,Male,202 Nielsen Path,,Greeneshire,SC,02941,USA,Regular,Bronze,2025-04-15
CUST-000105,Jessica,Nicholson,robinsoncatherine@example.com,923.369.2929x8425,1959-04-26,Female,10388 Serrano Rest Apt. 279,,Port Amandaville,CO,63709,USA,Regular,Bronze,2025-06-21
CUST-000106,Rachel,Ryan,princekimberly@example.net,(886)450-8637x65991,1960-11-14,Other,49864 Adam Summit,,New Alexandrahaven,AL,49656,USA,New,Bronze,2024-10-24
CUST-000107,Gwendolyn,Stewart,daniel69@example.com,986-495-9463x688,1968-02-28,Male,4956 Melissa Shoals Apt. 372,Apt. 386,Laurenton,GA,51501,USA,Regular,Silver,2024-10-19
CUST-000108,Adam,Davis,thomasburke@example.org,643-251-9066,2004-05-31,Other,770 Melissa Unions,,Jameshaven,NC,92048,USA,Regular,Gold,2025-09-24
CUST-000109,Gavin,Johnson,dianacantrell@example.org,665-766-9380x118,1966-09-23,Male,93769 Jose Lodge Apt. 818,,Matthewville,AS,67778,USA,Regular,Bronze,2023-07-13
CUST-000110,Nancy,Li,heather69@example.com,001-735-877-9071x41633,2005-01-10,Female,434 Raymond Summit,,Charlesburgh,NJ,41640,USA,New,Gold,2025-09-15
CUST-000111,Patricia,Adams,victorgonzalez@example.net,343.333.3952,2002-10-22,Female,080 Watson Island Suite 947,,Port Sabrina,KY,52651,USA,VIP,Bronze,2023-11-24
CUST-000112,Barbara,Brown,imendoza@example.org,356.727.1875x00369,1967-08-14,Male,84347 Diaz Parks Suite 365,,Melissaview,NV,24079,USA,VIP,Silver,2023-07-03
CUST-000113,Tiffany,Parks,lelinda@example.net,(963)622-7026x72885,1960-08-24,Female,1203 Woods Roads,,South Julieview,MN,47727,USA,New,Bronze,2024-07-20
CUST-000114,Sarah,Scott,jenkinsmichael@example.net,+1-339-898-2455x877,1983-07-01,Other,225 Welch Ports Suite 112,,Jeremymouth,SD,38689,USA,VIP,Bronze,2024-07-08
CUST-000115,Catherine,Foster,xnorman@example.net,001-687-362-2023,1958-02-07,Other,11780 Kelli Pine Apt. 149,,North Diana,FM,51598,USA,Regular,Bronze,2024-12-19
CUST-000116,John,Mitchell,davidroberson@example.org,4554778487,1982-01-22,Female,968 Stout Orchard Apt. 174,,Robertberg,ME,01884,USA,New,Silver,2023-10-07
CUST-000117,Lisa,Charles,justin80@example.net,874.806.4930x8536,1960-07-31,Male,3416 Zachary Union Suite 484,,Lopezland,HI,18408,USA,Regular,Silver,2022-11-02
CUST-000118,Dana,Williamson,jackie73@example.com,4209802144,1990-08-23,Other,20735 Collins Union,,Boltonmouth,UT,04660,USA,Regular,Gold,2023-09-15
CUST-000119,Megan,Lynn,adamsphilip@example.net,923.346.0136x7303,1977-09-01,Female,6452 Julie Plaza,Apt. 474,West Paige,VI,87886,USA,Regular,Bronze,2023-10-29
CUST-000120,Daniel,Chen,alexis49@example.org,(330)709-7925x1327,2003-06-24,Female,52812 Hall Point,,Lindamouth,VA,25793,USA,New,Silver,2023-06-28
CUST-000121,Nicholas,Ramsey,rachel77@example.net,487-339-2855x7498,1978-04-19,Other,4857 Kimberly Parkways Suite 209,,Kimberlybury,MD,95004,USA,New,Silver,2022-11-25
CUST-000122,Tammy,Fuentes,alexandriajimenez@example.net,(394)256-5118,1997-06-14,Other,03173 Anthony Row,Suite 789,Brandonbury,PA,94590,USA,New,Bronze,2023-01-10
CUST-000123,Sarah,Clark,fhebert@example.com,+1-305-586-5094x8014,2005-05-09,Male,38633 Ashley Fall,,Reeseshire,MI,88908,USA,VIP,Bronze,2023-01-18
CUST-000124,Elizabeth,Andrade,laurapierce@example.net,528-597-5585x56659,1968-06-19,Male,7760 Tonya Ranch Apt. 824,,West Traceyborough,PR,41776,USA,VIP,Gold,2024-03-18
CUST-000125,Lynn,Norris,samantha88@example.net,001-721-507-5224,1959-07-08,Male,96931 Mcguire Extensions Suite 919,Suite 096,Port Brianmouth,MI,57426,USA,Regular,Gold,2022-11-25
CUST-000126,Mindy,Kane,julieatkinson@example.org,+1-460-248-0589x2583,1987-04-11,Female,9981 Ryan Turnpike Suite 225,,South Ashleyton,OH,52823,USA,New,Silver,2024-02-01
CUST-000127,Raymond,Hamilton,kathleencastillo@example.org,369.338.9833x1465,1987-02-26,Other,5355 Kayla Extension Suite 979,,South Brady,GU,31104,USA,Regular,,2023-08-16
CUST-000128,Nathaniel,Todd,rodriguezbrian@example.net,(740)551-4770,1991-06-16,Male,88487 Heather Skyway,Apt. 698,West Georgeport,ID,91796,USA,New,Gold,2023-06-08
CUST-000129,Brian,Pena,jonesdonna@example.net,+1-351-404-6368x15798,1957-05-14,Male,003 Cook Lock Apt. 055,,Colleenbury,NY,36660,USA,VIP,Silver,2024-09-09
CUST-000130,Connie,Johns,raymondstacy@example.org,(856)521-6893,1980-12-05,Other,9578 Jamie Dam Apt. 248,,South Wendy,WI,19526,USA,VIP,Silver,2025-04-09
CUST-000131,Annette,Moore,grantstacy@example.org,(652)405-6647,1993-12-02,Male,20994 Caitlyn Fort,,West Christopherfort,DC,66341,USA,Regular,Bronze,2024-10-21
CUST-000132,Taylor,Banks,melissahenry@example.org,(533)506-0463,1949-01-01,Female,757 Ronald Trail Apt. 965,,Carrshire,PA,70776,USA,New,,2025-05-17
CUST-000133,Nancy,Buchanan,hayesmargaret@example.org,588.660.8680,1972-07-12,Other,7264 Hannah Divide Suite 718,,East Kimberlyside,DC,52021,USA,VIP,,2024-05-30
CUST-000134,Shannon,White,nicoledavis@example.com,001-421-811-7518x689,1979-07-05,Female,59222 Kayla Center,Suite 447,Courtneyville,MH,17746,USA,VIP,Bronze,2024-01-29
CUST-000135,Adam,Cannon,ellismelissa@example.net,9973339776,1982-09-17,Other,84983 Jack Centers,,Benjaminton,TN,76272,USA,VIP,Bronze,2025-09-19
CUST-000136,Kenneth,Knapp,rodriguezvictoria@example.org,+1-749-899-8279x50145,1996-07-06,Female,147 David Wall Suite 586,Apt. 390,New Jessicahaven,CO,63895,USA,Regular,Silver,2025-05-08
CUST-000137,Cassandra,French,ronald54@example.net,001-995-429-9787,2000-07-04,Female,430 Andrew Road,,Lake Melaniechester,MT,06463,USA,New,Gold,2025-01-03
CUST-000138,Ann,Walsh,davidsonhannah@example.com,744-888-5015,1990-06-22,Male,35577 Debbie Orchard,Apt. 785,Bowerschester,WA,07843,USA,Regular,Silver,2023-11-02
CUST-000139,Kevin,Hardy,angela03@example.net,+1-455-312-4056x82996,1999-04-22,Other,504 Miller Wells Apt. 574,Apt. 842,West Kristenborough,PW,12638,USA,Regular,,2025-05-05
CUST-000140,Angel,Webb,jamesmclean@example.net,645.221.8230x76810,1988-02-14,Female,7018 Johnson Trace,,Danielleborough,MD,26788,USA,Regular,Gold,2024-03-02
CUST-000141,Joshua,Flores,rlambert@example.org,(741)709-8813,1961-11-29,Male,321 Austin Junction Suite 020,,Bergerton,CT,50780,USA,Regular,Gold,2023-06-01
CUST-000142,Ronald,White,tjensen@example.com,981.679.2171,1987-12-16,Other,3329 Durham Lock Apt. 557,,Johnsonfort,DE,46565,USA,VIP,Bronze,2022-12-30
CUST-000143,Megan,Campbell,cassandra28@example.org,(515)481-4876x9639,2006-03-11,Female,53966 Stephens Freeway Apt. 197,,New Caitlinmouth,OH,13300,USA,Regular,Silver,2024-04-09
CUST-000144,Gregory,Blanchard,georgegina@example.net,001-665-870-1329x02278,1983-08-14,Female,35494 Robbins Key Apt. 909,Suite 240,Rachelton,AL,92691,USA,Regular,,2025-04-20
CUST-000145,Tiffany,Rodriguez,michelle36@example.net,001-465-966-6683,1953-08-06,Male,6242 Alexander Rue Apt. 276,,North Derrick,AS,55008,USA,New,,2024-07-07
CUST-000146,Patricia,Dominguez,dhanson@example.net,(687)865-3269x09738,2003-03-18,Other,09751 Nixon Common Apt. 847,Apt. 891,South Crystal,TN,88151,USA,Regular,Silver,2025-06-01
CUST-000147,Cynthia,Yates,chloe58@example.org,678.679.5654x4209,1948-09-15,Other,290 Lamb Road Apt. 471,,New Chase,WY,36919,USA,Regular,Gold,2023-01-26
CUST-000148,Christina,Hill,alexis19@example.org,001-227-752-4372,2006-10-31,Male,276 Young Mill,,East Becky,MP,45730,USA,VIP,,2023-08-05
CUST-000149,Joseph,Weiss,jacksonraymond@example.com,883.766.7428x6047,2005-06-05,Male,85694 Nelson Unions,Apt. 496,Mejiabury,VA,88566,USA,Regular,Bronze,2022-12-31
CUST-000150,James,Rogers,lawrencesmith@example.org,606-618-1753,1956-12-31,Male,109 Stephanie Route,,Lake Susanland,PR,79758,USA,Regular,,2024-08-08
